phrase,prereq
I don't visit,visit
You don't visit,visit
He doesn't visit,visit
She doesn't visit,visit
It doesn't visit,visit
We don't visit,visit
You don't visit,visit
They don't visit,visit
I am not studying,study
You aren't studying,study
He isn't studying,study
She isn't studying,study
It isn't studying,study
We aren't studying,study
You aren't studying,study
They aren't studying,study
I didn't play,play
You didn't play,play
He didn't play,play
She didn't play,play
It didn't play,play
We didn't play,play
You didn't play,play
They didn't play,play
I won't cook,cook
You won't cook,cook
He won't cook,cook
She won't cook,cook
It won't cook,cook
We won't cook,cook
You won't cook,cook
They won't cook,cook
I am not going to fly,fly
You aren't going to fly,fly
He isn't going to fly,fly
She isn't going to fly,fly
It isn't going to fly,fly
We aren't going to fly,fly
You aren't going to fly,fly
They aren't going to fly,fly
I won't be sitting,sit
You won't be sitting,sit
He won't be sitting,sit
She won't be sitting,sit
It won't be sitting,sit
We won't be sitting,sit
You won't be sitting,sit
They won't be sitting,sit
I haven't seen,see
You haven't seen,see
He hasn't seen,see
She hasn't seen,see
It hasn't seen,see
We haven't seen,see
You haven't seen,see
They haven't seen,see
I haven't been studying,study
You haven't been studying,study
He hasn't been studying,study
She hasn't been studying,study
It hasn't been studying,study
We haven't been studying,study
You haven't been studying,study
They haven't been studying,study
I hadn't eaten,eat
You hadn't eaten,eat
He hadn't eaten,eat
She hadn't eaten,eat
It hadn't eaten,eat
We hadn't eaten,eat
You hadn't eaten,eat
They hadn't eaten,eat
I hadn't been sleeping,sleep
You hadn't been sleeping,sleep
He hadn't been sleeping,sleep
She hadn't been sleeping,sleep
It hadn't been sleeping,sleep
We hadn't been sleeping,sleep
You hadn't been sleeping,sleep
They hadn't been sleeping,sleep
I won't have prepared,prepare
You won't have prepared,prepare
He won't have prepared,prepare
She won't have prepared,prepare
It won't have prepared,prepare
We won't have prepared,prepare
You won't have prepared,prepare
They won't have prepared,prepare
I won't have been driving,drive
You won't have been driving,drive
He won't have been driving,drive
She won't have been driving,drive
It won't have been driving,drive
We won't have been driving,drive
You won't have been driving,drive
They won't have been driving,drive
