phrase,prereq
I eat,eat
You eat,eat
He eats,eat
She eats,eat
It eats,eat
We eat,eat
You eat,eat
They eat,eat
I am learning,learn
You are learning,learn
He is learning,learn
She is learning,learn
It is learning,learn
We are learning,learn
You are learning,learn
They are learning,learn
I went,go
You went,go
He went,go
She went,go
It went,go
We went,go
You went,go
They went,go
I was cooking,cook
You were cooking,cook
He was cooking,cook
She was cooking,cook
It was cooking,cook
We were cooking,cook
You were cooking,cook
They were cooking,cook
I will come,come
You will come,come
He will come,come
She will come,come
It will come,come
We will come,come
You will come,come
They will come,come
I am going to fly,fly
You are going to fly,fly
He is going to fly,fly
She is going to fly,fly
It is going to fly,fly
We are going to fly,fly
You are going to fly,fly
They are going to fly,fly
I will be working,work
You will be working,work
He will be working,work
She will be working,work
It will be working,work
We will be working,work
You will be working,work
They will be working,work
I have taught,teach
You have taught,teach
He has taught,teach
She has taught,teach
It has taught,teach
We have taught,teach
You have taught,teach
They have taught,teach
I have been watching,watch
You have been watching,watch
He has been watching,watch
She has been watching,watch
It has been watching,watch
We have been watching,watch
You have been watching,watch
They have been watching,watch
I had eaten,eat
You had eaten,eat
He had eaten,eat
She had eaten,eat
It had eaten,eat
We had eaten,eat
You had eaten,eat
They had eaten,eat
I had been working,work
You had been working,work
He had been working,work
She had been working,work
It had been working,work
We had been working,work
You had been working,work
They had been working,work
I will have finished,finish
You will have finished,finish
He will have finished,finish
She will have finished,finish
It will have finished,finish
We will have finished,finish
You will have finished,finish
They will have finished,finish
I will have been studying,study
You will have been studying,study
He will have been studying,study
She will have been studying,study
It will have been studying,study
We will have been studying,study
You will have been studying,study
They will have been studying,study
