LangCode,LanguageLocal
en,English
sv,Svenska
ar,???????
de,Deutsch
az,Az?rbaycanca
fr,Français
eu,Euskara
nl,Nederlands
ru,???????
be,??????????
it,Italiano
bg,?????????
es,Español
ca,Català
pl,Polski
vi,Ti?ng Vi?t
hr,Hrvatski
ja,???
cs,?eština
da,Dansk
pt,Português
uk,??????????
eo,Esperanto
fa,?????
et,Eesti
sr,?????? / Srpski
fi,Suomi
no,Norsk (Bokmål)
id,Bahasa Indonesia
gl,Galego
ko,???
ka,???????
hu,Magyar
el,????????
ro,Român?
hi,??????
tr,Türkçe
ms,Bahasa Melayu
sk,Sloven?ina
la,Latina
lv,Latviešu
lt,Lietuvi?
mk,??????????
sl,Slovenš?ina
ur,????
th,???
ta,?????
cy,Cymraeg
af,Afrikaans
sq,Shqip
bn,?????
tl,Tagalog
te,??????
ht,Krèyol ayisyen
sw,Kiswahili
ga,Gaeilge
is,Íslenska
gu,???????
kn,?????
yi,??????
